nr  chi2(NW)    p
1   27,81741    0.08701
2   355.5579    0.00000
3   34,48184    0,01611
4   244,1881    0,00000
5   55,32446    0,00002
6   74,47859    0,00000
7   49,99936    0,00013
8   42,30770    0,00161
9   43,60142    0,00107
10  76,63038    0,00000
11  53,40446    0,00004
12  137,0437    0,00000
13  67,30601    0,00000
14  256,2320    0,00000
15  113,6907    0,00000
16  62,40870    0,00000
17  426,8670    0,00000
18  221,8802    0,00000
19  261,7030    0,00000
20  67,30601    0,00000
